pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_bmassj,pl_radj,pl_eqt,st_teff,st_rad,st_mass,sy_dist
"BD-13 2130 b","BD-13 2130","Radial Velocity",2007,714.29999000000,1.6600000000,9.78000000,,,4545.00,19.170000,2.120000,925.21400000
"eps CrB b","eps CrB","Radial Velocity",2012,417.90000000000,1.3000000000,6.70000000,,,4406.00,21.000000,1.700000,69.86830000
"Kepler-1342 b","Kepler-1342","Transit",2016,2.21571035800,,,0.14809528,,5527.00,0.900000,0.930000,890.72400000
"Kepler-52 d","Kepler-52","Transit",2014,36.44517100000,0.1820000000,,0.17400000,,4263.00,0.556000,,321.54200000
"Kepler-321 c","Kepler-321","Transit",2014,13.09392100000,0.1100000000,,0.20700000,,5740.00,1.194000,,384.54200000
"Kepler-780 b","Kepler-780","Transit",2016,0.67737516400,,,0.07940048,,5769.00,1.020000,1.010000,557.65200000
"Kepler-816 b","Kepler-816","Transit",2016,10.50682564600,,,0.91355161,,5286.00,0.850000,0.900000,983.69700000
"GJ 328 b","GJ 328","Radial Velocity",2013,3771.00000000000,4.1100000000,2.51000000,,,3897.00,0.630000,0.650000,20.52660000
"GJ 667 C f","GJ 667 C","Radial Velocity",2013,39.02600000000,0.1560000000,0.00800000,,,3350.00,,0.330000,7.24396000
"Kepler-910 b","Kepler-910","Transit",2016,2.36436901500,,,0.07315550,,6230.00,1.500000,1.260000,400.28900000
"Kepler-198 d","Kepler-198","Transit",2016,1.31184443000,,,0.13649746,,5636.00,0.930000,0.970000,495.35800000
"CoRoT-23 b","CoRoT-23","Transit",2011,3.63130000000,0.0480000000,2.80000000,1.05000000,1660.00,5900.00,1.610000,1.140000,1060.97000000
"Kepler-327 d","Kepler-327","Transit",2014,13.96945700000,0.0900000000,,0.15400000,,3799.00,0.492000,,241.98700000
"Kepler-733 b","Kepler-733","Transit",2016,20.83424726000,,,0.25158355,,5418.00,0.860000,0.900000,916.70600000
"Kepler-769 b","Kepler-769","Transit",2016,7.42608998000,,,0.26050495,,6186.00,1.280000,1.190000,1169.57000000
"Kepler-913 b","Kepler-913","Transit",2016,10.29672521000,,,0.18378089,,4687.00,0.610000,0.630000,991.61800000
"HD 62549 b","HD 62549","Radial Velocity",2022,14306.88519000000,11.8420000000,8.51900000,,,,,1.080000,49.33050000
"K2-104 b","K2-104","Transit",2016,1.97419540000,0.0242000000,,0.15969338,798.00,3712.00,0.480000,0.510000,189.28900000
"Kepler-1092 b","Kepler-1092","Transit",2016,58.60179250000,,,0.18467303,,5862.00,1.000000,0.990000,981.23300000
"Kepler-33 f","Kepler-33","Transit",2011,41.02902000000,0.2535000000,,0.39790000,,5904.00,1.820000,1.291000,1209.16000000
"Kepler-1263 b","Kepler-1263","Transit",2016,4.55139967000,,,0.10170399,,5213.00,0.800000,0.840000,664.83000000
"Kepler-1497 b","Kepler-1497","Transit",2016,8.74199772000,,,0.14809528,,5675.00,0.950000,0.960000,
"Kepler-391 b","Kepler-391","Transit",2014,7.41750000000,0.0830000000,3.46098705,0.22303545,930.00,5038.00,2.879000,1.270000,869.23600000
"Kepler-338 b","Kepler-338","Transit",2014,13.72697600000,0.1170000000,,0.21800000,,5923.00,1.735000,,552.79800000
"Kepler-520 c","Kepler-520","Transit",2016,5.21104261000,,,0.09545901,,6112.00,1.090000,1.100000,623.90100000
"Kepler-446 c","Kepler-446","Transit",2015,3.03617900000,,,0.10000000,,3359.00,0.240000,0.220000,96.33900000
"HD 45364 b","HD 45364","Radial Velocity",2008,225.79000000000,0.6793000000,0.18930000,,,5466.00,0.890000,0.820000,34.35400000
"GJ 163 d","GJ 163","Radial Velocity",2013,603.95116000000,1.0304000000,0.09250228,,,,,,15.12850000
"HD 81817 b","HD 81817","Radial Velocity",2020,1021.20159000000,3.2330000000,24.12800000,,,,,4.300000,269.12600000
"CoRoT-28 b","CoRoT-28","Transit",2015,5.20851000000,0.0603000000,0.48400000,0.95500000,,5150.00,1.780000,1.010000,766.18300000
"Kepler-1050 c","Kepler-1050","Transit",2016,21.12845690000,,,0.13203676,,6010.00,1.130000,1.090000,490.48800000
"Kepler-1078 b","Kepler-1078","Transit",2016,3.00725242000,,,0.16950665,,5612.00,0.920000,0.940000,2481.71000000
"GJ 896 A b","GJ 896 A","Astrometry",2022,284.39000000000,0.6396500000,2.26000000,,,,,0.435990,6.26022000
"OGLE-2008-BLG-092L b","OGLE-2008-BLG-092L","Microlensing",2014,,15.0000000000,0.18000000,,,,,0.710000,8100.00000000
"Kepler-1740 b","Kepler-1740","Transit",2021,8.17240047500,,,0.29647782,,5705.00,0.905000,0.943000,1061.77000000
"HD 180053 b","HD 180053","Radial Velocity",2018,213.72000000000,0.8430000000,2.19400000,,,5131.00,4.060000,1.750000,137.04300000
"TOI-2141 c","TOI-2141","Radial Velocity",2025,5.46240000000,0.0585000000,0.01931860,,1095.00,5635.00,0.950000,0.896000,77.68200000
"HD 187123 b","HD 187123","Radial Velocity",1998,3.09658280000,0.0426000000,0.52300000,,,5790.00,1.150430,1.040000,45.95480000
"TOI-6000 b","TOI-6000","Transit",2025,0.44895900000,,,0.08386133,1120.00,3419.00,0.380000,0.370000,75.76640000
"TOI-2018 b","TOI-2018","Transit",2023,7.43558300000,,0.02894644,0.20233776,,4174.00,0.620000,0.570000,27.99560000
"TOI-2382 b","TOI-2382","Transit",2025,4.66120610000,0.0590000000,0.74000000,1.09300000,1426.00,6033.00,1.417000,1.260000,434.92000000
"G 192-15 b","G 192-15","Radial Velocity",2025,2.27476000000,0.0172300000,0.00324074,,453.60,,,0.132000,9.53114000
"HD 16905 b","HD 16905","Radial Velocity",2022,10256.00000000000,8.8000000000,11.30000000,,,,,0.850000,39.74010000
"TOI-620 b","TOI-620","Transit",2022,5.09881790000,0.0482500000,,0.33544531,603.60,3708.00,0.550000,0.577000,33.02310000
"K2-368 d","K2-368","Transit",2022,20.20108500000,,,0.17378922,,4663.00,0.663000,0.746000,206.60800000
"G 261-6 b","G 261-6","Radial Velocity",2025,5.45360000000,0.0297100000,0.00431050,,322.30,,,0.118000,10.62670000
"Kepler-1982 b","Kepler-1982","Transit",2023,3.82315697000,0.0511000000,,0.06869492,1282.00,6202.00,1.122000,1.213000,558.85500000
"TOI-1716.01","TOI-1716","Transit",2024,8.08237655400,0.0804960000,,0.28040016,,5879.00,1.240000,1.070000,104.15800000
"KMT-2021-BLG-0119L b","KMT-2021-BLG-0119L","Microlensing",2022,,2.9200000000,5.52000000,,,,,0.560000,3130.00000000
"TOI-5800 b","TOI-5800","Transit",2025,2.62788380000,0.0344000000,0.02989034,0.21946688,1108.00,4850.00,0.773000,0.778000,42.90520000
"HD 11506 d","HD 11506","Radial Velocity",2022,26500.00000000000,18.2000000000,12.80000000,,,6123.00,,1.220000,51.26100000
"GJ 887 c","GJ 887","Radial Velocity",2020,21.78400000000,0.1210000000,0.02045129,,320.00,3688.00,0.468000,0.495000,3.28679000
"Gaia-5 b","Gaia-5","Astrometry",2025,358.62000000000,,20.87000000,,,3447.00,0.345000,0.339000,41.18130000
"Kepler-1996 b","Kepler-1996","Transit",2023,32.37618300000,0.1789000000,,0.20162404,392.00,4580.00,0.675000,0.748000,440.56100000
"TOI-6109 b","TOI-6109","Transit",2025,5.69047600000,0.0599000000,,0.43450873,,5660.00,1.021000,1.030000,151.73800000
"TOI-5720 b","TOI-5720","Transit",2024,1.43445550000,0.0182880000,0.01352931,0.09724345,708.00,3325.00,0.383000,0.383000,35.82560000
"HD 128717 b","HD 128717","Astrometry",2025,3420.00000000000,4.8500000000,19.80000000,,,6210.00,1.248000,1.212000,73.63600000
"K2-378 b","K2-378","Transit",2022,2.06043800000,,,0.25693683,,4823.00,0.732000,0.923000,687.97300000
"OGLE-2012-BLG-0358L b","OGLE-2012-BLG-0358L","Microlensing",2013,,0.8700000000,1.85000000,,,,,0.022000,1760.00000000
"KOI-3503 c","KOI-3503","Transit",2021,31.82800000000,,0.03259621,0.10794916,686.00,6001.00,1.255000,0.858000,887.06400000
"WASP-132 d","WASP-132","Radial Velocity",2024,1816.60000000000,2.7100000000,5.16000000,,107.00,4686.00,0.758000,0.789000,122.91000000
"rho CrB c","rho CrB","Radial Velocity",2016,102.03600000000,,0.08634219,,,,,1.000000,17.46710000
"TOI-757 b","TOI-757","Transit",2024,17.46819000000,0.1220000000,0.03303669,0.22303545,641.00,5278.00,0.780000,0.800000,60.34180000
"HD 24040 c","HD 24040","Radial Velocity",2021,515.40000000000,1.3000000000,0.20100000,,,5776.49,1.387296,1.103940,46.62240000
"TOI-2084 b","TOI-2084","Transit",2023,6.07842470000,0.0500600000,,0.22035902,527.00,3551.00,0.475000,0.453000,114.54900000
"Kepler-538 b","Kepler-538","Transit",2016,81.73778000000,0.3554000000,0.04058794,0.19760940,417.00,5534.00,0.871700,0.892000,155.95600000
"K2-136 c","K2-136","Transit",2017,17.30713000000,0.1185000000,0.05694897,0.26764253,470.00,4500.00,0.677000,0.742000,59.24740000
"HD 181433 b","HD 181433","Radial Velocity",2008,9.37450000000,0.0828000000,0.02271666,,,,,0.860000,26.87620000
"Kepler-1162 c","Kepler-1162","Transit",2023,59.28406400000,0.2832000000,,0.16147766,401.00,5225.00,0.859000,0.861000,940.21100000
"HD 62364 c","HD 62364","Radial Velocity",2022,74839.94555000000,36.9840000000,24.93000000,,,,,1.190000,53.11200000
"HD 173416 b","HD 173416","Radial Velocity",2008,322.03000000000,1.1580000000,1.84100000,,,4683.00,13.500000,2.000000,132.18400000
"Kepler-416 d","Kepler-416","Transit",2023,3.07644709000,0.0407000000,,0.14363483,1253.00,5670.00,1.022000,0.949000,690.81900000
"K2-111 c","K2-111","Radial Velocity",2020,15.67480000000,0.1156500000,0.03492451,,923.00,5775.00,1.250000,0.840000,200.39400000
"GJ 1002 b","GJ 1002","Radial Velocity",2022,10.34650000000,0.0457000000,0.00339806,,230.90,3024.00,0.137000,0.120000,4.84867000
"HD 47536 b","HD 47536","Radial Velocity",2002,712.13000000000,1.9300000000,7.32000000,,,4380.00,23.470000,2.100000,122.53600000
"HD 28471 b","HD 28471","Radial Velocity",2025,3.16490000000,0.0420000000,0.01170443,,1377.00,5766.00,1.080000,0.980000,43.64550000
"Kepler-963 c","Kepler-963","Transit",2024,0.91978300000,,,0.05352851,,5169.47,0.928000,0.821000,771.49400000
"TOI-199 c","TOI-199","Transit Timing Variations",2023,273.69000000000,0.8070000000,0.28000000,,,5255.00,0.820000,0.936000,102.27000000
"TOI-4940 b","TOI-4940","Transit",2025,25.86781100000,0.1650000000,0.28002532,0.58970572,643.00,5504.00,1.163000,1.012000,345.65900000
"TOI-5704 b","TOI-5704","Transit",2023,3.77111600000,,,0.28792984,949.07,4590.00,0.757500,0.730000,89.63700000
"Kepler-323 c","Kepler-323","Transit",2014,3.55382290000,0.0458000000,0.02139519,0.14006626,1431.00,6004.00,1.120000,1.015000,454.88300000
"TOI-1181 b","TOI-1181","Transit",2022,2.10318900000,,1.17900000,1.51900000,,6054.00,1.961000,1.467000,302.81900000
"Kepler-1181 b","Kepler-1181","Transit",2016,4.89337519000,,,0.14006602,,6176.00,1.300000,1.170000,938.41700000
"WASP-132 b","WASP-132","Transit",2016,7.13351640000,0.0674000000,0.42800000,0.90100000,682.00,4686.00,0.758000,0.789000,122.91000000
"ups Leo b","ups Leo","Radial Velocity",2021,385.20000000000,1.1800000000,0.51000000,,,4836.00,11.220000,1.480000,52.59730000
"TOI-969 b","TOI-969","Transit",2022,1.82373050000,0.0263600000,0.02863180,0.24667720,941.00,4435.00,0.671000,0.734000,77.25540000
"HIP 67522 b","HIP 67522","Transit",2020,6.95947310000,0.0748000000,,0.89100000,1175.00,5675.00,1.380000,1.220000,127.28000000
"WASP-93 b","WASP-93","Transit",2016,2.73253210000,0.0421100000,1.47000000,1.59700000,1942.00,6700.00,1.524000,1.334000,370.28400000
"TOI-1695 b","TOI-1695","Transit",2022,3.13427910000,0.0335480000,0.02001080,0.16950694,698.00,3690.00,0.515000,0.513000,45.13090000
"TOI-6716 b","TOI-6716","Transit",2026,4.71858980000,0.0319000000,,0.08760000,369.00,3110.00,0.231000,0.223000,18.88730000
"TOI-1246 c","TOI-1246","Transit",2022,5.90413700000,0.0610000000,0.02863180,0.21867273,862.49,5213.00,0.864900,0.888900,169.42200000
"Gaia-1 b","Gaia-1","Transit",2022,3.05252400000,0.0404700000,1.68000000,1.22900000,,5470.00,0.952000,0.949000,363.66000000
"TOI-4504 b","TOI-4504","Transit",2024,2.42614000000,0.0339200000,,0.24007535,,5315.00,0.920000,0.890000,342.60500000
"BD-210397 b","BD-210397","Radial Velocity",2023,1891.00000000000,2.6300000000,0.70000000,,,4051.00,0.747000,0.679000,23.73240000
"TOI-2497 b","TOI-2497","Transit",2023,10.65566900000,0.1166000000,4.82000000,0.99400000,1595.00,7360.00,2.360000,1.859000,285.28900000
"K2-381 c","K2-381","Transit",2022,16.03465600000,,,0.17842836,,4473.00,0.675000,0.754000,145.70100000
"Kepler-37 c","Kepler-37","Transit",2013,21.30184800000,0.1390000000,0.00409026,0.06735670,615.00,5357.00,0.789000,0.790000,63.92070000
"TOI-1422 c","TOI-1422","Radial Velocity",2025,34.56330000000,0.2050000000,0.04404893,0.23284900,628.00,,,,155.14100000
"HD 21520 b","HD 21520","Transit",2024,25.12920000000,0.1726000000,0.05569043,0.24061064,637.00,5871.00,1.044000,1.090000,79.20800000
"EPIC 229004835 b","EPIC 229004835","Transit",2023,16.14113200000,0.1237000000,0.03272206,0.20804746,804.00,5868.00,0.999000,0.970000,121.97100000
"Kepler-10 b","Kepler-10","Transit",2011,0.83749070000,0.0168500000,0.01019418,0.13114484,2188.00,5708.00,1.065000,0.910000,185.50600000
"HD 112300 b","HD 112300","Radial Velocity",2023,466.63000000000,1.3300000000,15.83000000,,,3657.00,65.800000,1.400000,62.07324000
"TOI-1288 b","TOI-1288","Transit",2022,2.69982790000,0.0374000000,0.13875412,0.44325757,1203.44,5388.00,0.958300,0.955200,114.86500000
"Kepler-963 b","Kepler-963","Transit",2016,9.97683705000,,,0.23730931,,5461.00,0.870000,0.910000,771.49400000
"Kepler-864 b","Kepler-864","Transit",2016,5.83376092000,,,0.21411366,,5754.00,1.000000,1.000000,2022.90000000
"TOI-2266 b","TOI-2266","Transit",2024,2.32631800000,0.0200000000,,0.13738983,550.00,3200.00,0.240000,0.230000,51.60040000
"TOI-1836 b","TOI-1836","Transit",2024,20.38079900000,0.1597000000,0.12100000,0.71400000,966.00,6380.00,1.577000,1.307000,191.64900000
"TOI-1468 c","TOI-1468","Transit",2022,15.53247700000,0.0860800000,0.01290004,0.18966934,338.10,3376.00,0.371400,0.352700,24.73990000
"TOI-2152 A b","TOI-2152","Transit",2023,3.37735120000,0.0506400000,2.83000000,1.28100000,1802.00,6630.00,1.612000,1.516000,303.00600000
"KOI-984 c","KOI-984","Transit Timing Variations",2022,21.51200000000,0.1467000000,0.66010462,,597.00,5295.00,0.818000,0.928000,252.66700000
"HD 190007 b","HD 190007","Radial Velocity",2020,11.72412800000,,0.04876845,,,4610.00,,0.770000,12.71410000
"TOI-2136 b","TOI-2136","Transit",2022,7.85192800000,0.0570000000,0.02004226,0.19537905,395.00,3342.00,0.340000,0.340000,33.36310000
"NY Vir c","NY Vir","Eclipse Timing Variations",2019,8799.00000000000,,5.54000000,,,32780.00,0.151000,0.459000,544.02400000
"K2-185 c","K2-185","Transit",2018,52.71349400000,,,0.21322189,477.00,5788.00,0.940000,0.960000,268.35700000
"TOI-1246 e","TOI-1246","Transit",2022,37.92548000000,0.2120000000,0.04562210,0.31351535,463.98,5213.00,0.864900,0.888900,169.42200000
"TOI-2714 b","TOI-2714","Transit",2024,2.49938700000,0.0360000000,0.71736822,1.22401852,1603.00,5665.00,1.250000,1.070000,597.87300000
"TOI-4406 b","TOI-4406","Transit",2023,30.08364000000,0.2010000000,0.30000000,1.00000000,904.00,6219.00,1.290000,1.190000,261.83400000
"TOI-6894 b","TOI-6894","Transit",2025,3.37077196000,0.0260400000,0.16800000,0.85500000,417.90,3007.00,0.227600,0.207000,73.81310000
"EPIC 212587672 b","EPIC 212587672","Transit",2019,15.28078000000,,,0.11240986,756.00,6004.00,0.980000,0.990000,320.07000000
"Kepler-1859 b","Kepler-1859","Transit",2021,2.72959995300,,,0.14123815,,5887.00,1.235000,1.090000,1331.25000000
"Kepler-464 b","Kepler-464","Transit",2016,7.25696522400,,,0.29440628,,5933.00,1.590000,1.210000,667.60400000
"Kepler-342 e","Kepler-342","Transit",2016,1.64422461300,,,0.07850834,,6366.00,1.340000,1.260000,781.61100000
"HD 20794 e","HD 20794","Radial Velocity",2017,147.02000000000,0.5090000000,0.01500802,,,,,0.813000,6.00278000
"HATS-2 b","HATS-2","Transit",2013,1.35413379000,0.0231700000,1.37000000,1.12200000,1550.00,,0.876000,0.904000,341.92500000
"Kepler-619 d","Kepler-619","Transit",2023,11.67894236000,0.1021000000,,0.37202312,830.00,6122.00,0.964000,1.041000,900.67800000
"TOI-561 e","TOI-561","Transit",2020,77.14400000000,0.3300000000,0.03901476,0.22455209,416.00,,0.843000,0.806000,85.79900000
"TOI-4438 b","TOI-4438","Transit",2024,7.44628000000,0.0534000000,0.01699030,0.22481973,435.00,3422.00,0.372000,0.368000,30.03460000
"Kepler-102 d","Kepler-102","Transit",2014,10.31176700000,0.0861800000,0.00943906,0.10295316,686.00,4909.00,0.724000,0.803000,107.79600000
"TOI-1448 b","TOI-1448","Transit",2024,8.11224500000,0.0567000000,0.06135386,0.24524978,426.00,3412.00,0.380000,0.372000,73.33450000
"Kepler-1976 b","Kepler-1976","Transit Timing Variations",2023,4.95931924400,0.0565000000,,1.08930511,1103.00,5712.00,1.082000,0.976000,1314.51000000
"TOI-7149 b","TOI-7149","Transit",2025,2.65206166000,0.0260300000,0.70500000,1.18000000,593.00,3363.00,0.351000,0.344000,126.12600000
"Kepler-102 c","Kepler-102","Transit",2014,7.07139200000,0.0670200000,0.00534880,0.05058444,777.00,4909.00,0.724000,0.803000,107.79600000
"Kepler-520 b","Kepler-520","Transit",2016,19.67416124000,,,0.14809528,,6112.00,1.090000,1.100000,623.90100000
"Kepler-374 d","Kepler-374","Transit",2014,5.02821900000,0.0560000000,,0.11700000,,5977.00,0.911000,,1265.61000000
"K2-391 b","K2-391","Transit",2022,4.62265400000,,,0.12231264,,5543.00,0.566000,0.757000,507.94000000
"TOI-1630.01","TOI-1630","Transit",2024,12.05573473300,0.1011510000,,0.21563067,,5504.00,0.830000,0.950000,66.09290000
"TOI-5789 b","TOI-5789","Radial Velocity",2026,2.76369000000,0.0360800000,0.00667027,,1201.00,5185.00,0.833000,0.821000,20.45810000
"EPIC 220674823 b","EPIC 220674823","Transit",2016,0.57130782000,0.0132000000,0.02372349,0.14327797,2324.00,5578.00,0.990000,0.913000,244.59000000
"K2-366 b","K2-366","Transit",2022,15.93703900000,,,0.21045625,,5601.00,0.940000,0.825000,185.94700000
"WASP-194 b","WASP-194","Transit",2025,3.18338700000,0.0470000000,1.17400000,1.38100000,1693.00,6405.00,1.409000,1.290000,476.83100000
"TOI-1117 b","TOI-1117","Transit",2025,2.22816000000,0.0330000000,0.02800253,0.21946688,1538.00,5635.00,1.050000,0.970000,167.59800000
"TOI-2406 b","TOI-2406","Transit",2021,3.07668910000,0.0226700000,0.04908309,0.25515255,449.00,3100.00,0.204000,0.166000,55.41900000
"55 Cnc e","55 Cnc","Radial Velocity",2004,0.73654740000,0.0154400000,0.02513923,0.16727630,,5172.00,0.943000,0.905000,12.58550000
"HD 11506 b","HD 11506","Radial Velocity",2007,1617.70000000000,2.8850000000,4.80000000,,,6123.00,,1.220000,51.26100000
"WASP-4 b","WASP-4","Transit",2007,1.33823099400,0.0226100000,1.20000000,1.34900000,1653.00,,0.912000,0.899000,267.20600000
"Kepler-1292 b","Kepler-1292","Transit",2016,3.27646405000,,,0.16236952,,5556.00,0.930000,0.950000,1493.43000000
"Kepler-879 b","Kepler-879","Transit",2016,33.38559380000,,,0.22928004,,5792.00,1.020000,1.020000,802.67200000
"PZ Tel b","PZ Tel","Imaging",2023,44000.00000000000,27.0000000000,27.00000000,,,,,1.360000,47.06480000
"HD 100777 b","HD 100777","Radial Velocity",2007,383.00000000000,1.0600000000,1.23000000,,,,,1.080000,49.53360000
"TOI-4342 b","TOI-4342","Transit",2023,5.53825920000,0.0519000000,0.02296837,0.20777982,639.00,3866.00,0.598000,0.587000,61.52040000
"K2-398 b","K2-398","Transit",2022,6.39302500000,,,0.20287304,,5946.00,1.239000,0.945000,606.99200000
"HIP 21152 b","HIP 21152","Imaging",2022,22000.00000000000,17.0000000000,24.00000000,,1300.00,6655.00,,1.400000,43.40730000
"K2-38 c","K2-38","Transit",2016,10.56103000000,0.0951400000,0.02611472,0.20430047,916.00,5731.00,1.060000,1.030000,192.69000000
"TOI-2093 b","TOI-2093","Radial Velocity",2025,12.83600000000,0.0970000000,0.03335133,,535.00,4426.00,0.729000,0.745000,82.79820000
"HIP 29442 c","TOI-469","Radial Velocity",2023,3.53795590000,0.0451800000,0.01415858,0.13837119,1123.00,5289.00,0.980000,0.901000,68.19200000
"GJ 3138 c","GJ 3138","Radial Velocity",2017,5.97400000000,0.0570000000,0.01315168,,,3717.00,0.500000,0.681000,28.47120000
